id;nome;provincia;codice
7905;AFGHANISTAN;EE;Z200
7906;AFRICA DEL SUD-OVEST;EE;Z300
7907;ALBANIA;EE;Z100
7908;ALGERIA;EE;Z301
7909;ANDORRA;EE;Z101
7910;ANGOLA;EE;Z302
7911;ANGOLA;EE;Z302
7912;ANGUILLA (ISOLA);EE;Z529
7913;ANTIGUA E BARBUDA;EE;Z532
7914;ANTILLE BRITANNICHE;EE;Z500
7915;ANTILLE BRITANNICHE;EE;Z521
7916;ANTILLE BRITANNICHE;EE;Z523
7917;ANTILLE BRITANNICHE;EE;Z523
7918;ANTILLE BRITANNICHE;EE;Z523
7919;ANTILLE BRITANNICHE;EE;Z521
7920;ANTILLE BRITANNICHE;EE;Z500
7921;ANTILLE OLANDESI;EE;Z501
7922;ARABIA MERIDIONALE FEDERAZIONE;EE;Z201
7923;ARABIA MERIDIONALE PROTETTORATO;EE;Z202
7924;ARABIA SAUDITA;EE;Z203
7925;ARGENTINA;EE;Z600
7926;ARMENIA;EE;Z252
7927;ARMENIA;EE;Z137
7928;AUSTRALIA;EE;Z700
7929;AUSTRIA;EE;Z102
7930;AZERBAIGIAN;EE;Z253
7931;AZERBAIGIAN;EE;Z141
7932;BAHAMA;EE;Z502
7933;BAHAMA (ISOLE);EE;Z502
7934;BAHREIN;EE;Z204
7935;BAHREIN;EE;Z204
7936;BANGLADESH;EE;Z249
7937;BARBADOS;EE;Z522
7938;BASUTOLAND-SUD AFRICA BRITANNICO;EE;Z303
7939;BECIUANIA-SUD AFRICA BRITANNICO;EE;Z304
7940;BELGIO;EE;Z103
7941;BELIZE;EE;Z512
7942;BELIZE;EE;Z512
7943;BENIN;EE;Z314
7944;BERMUDA (ISOLE);EE;Z400
7945;BHUTAN;EE;Z205
7946;BIELORUSSIA=RUSSIA BIANCA;EE;Z139
7947;BIRMANIA;EE;Z206
7948;BOLIVIA;EE;Z601
7949;BOPHUTHATSWANA;EE;Z364
7950;BOSNIA ED ERZEGOVINA;EE;Z153
7951;BOTSWANA;EE;Z358
7952;BRASILE;EE;Z602
7953;BRUNEI;EE;Z207
7954;BRUNEI;EE;Z207
7955;BULGARIA;EE;Z104
7956;BURKINA;EE;Z354
7957;BURUNDI;EE;Z305
7958;CAMBOGIA;EE;Z208
7959;CAMERUN;EE;Z306
7960;CANADA;EE;Z401
7961;CAPO VERDE;EE;Z307
7962;CAPO VERDE (ISOLE);EE;Z307
7963;CAROLINE (ISOLE);EE;Z701
7964;CAROLINE (ISOLE);EE;Z701
7965;CAROLINE (ISOLE)=STATI FEDERATI DI MICRONESIA;EE;Z701
7966;CAYMAN (ISOLE);EE;Z530
7967;CECA REPUBBLICA;EE;Z156
7968;CECOSLOVACCHIA;EE;Z105
7969;CECOSLOVACCHIA;EE;Z105
7970;CENTRAFRICANA REPUBBLICA;EE;Z308
7971;CENTROAFRICANA REPUBBLICA;EE;Z308
7972;CENTROAFRICANO IMPERO;EE;Z308
7973;CEYLON;EE;Z209
7974;CHRISTMAS (ISOLA);EE;Z702
7975;CIAD;EE;Z309
7976;CILE;EE;Z603
7977;CINA REPUBBLICA POPOLARE;EE;Z210
7978;CIPRO;EE;Z211
7979;CISKEI;EE;Z367
7980;CITTA' DEL VATICANO;EE;Z106
7981;COCOS (ISOLE);EE;Z212
7982;COLOMBIA;EE;Z604
7983;COMORE;EE;Z310
7984;COMORE (ISOLE);EE;Z310
7985;COMORE (ISOLE);EE;Z310
7986;COMORE (ISOLE);EE;Z310
7987;CONGO BRAZZAVILLE;EE;Z311
7988;CONGO LEOPOLDVILLE;EE;Z312
7989;CONGO REPUBBLICA DEMOCRATICA;EE;Z312
7990;CONGO REPUBBLICA POPOLARE;EE;Z311
7991;COOK (ISOLE);EE;Z703
7992;COREA DEL NORD;EE;Z214
7993;COREA DEL SUD;EE;Z213
7994;COSTA D'AVORIO;EE;Z313
7995;COSTA DEI PIRATI=TRUCIAL STATES;EE;Z215
7996;COSTA RICA;EE;Z503
7997;CROAZIA;EE;Z149
7998;CUBA;EE;Z504
7999;DAHOMEY=BENIN;EE;Z314
8000;DANIMARCA;EE;Z107
8001;DIPENDENZE AUSTRALIANE;EE;Z900
8002;DIPENDENZE BRITANNICHE;EE;Z901
8003;DIPENDENZE CANADESI;EE;Z800
8004;DIPENDENZE FRANCESI;EE;Z902
8005;DIPENDENZE NEOZELANDESI;EE;Z903
8006;DIPENDENZE NORVEGESI ANTARTICHE;EE;Z904
8007;DIPENDENZE NORVEGESI ARTICHE;EE;Z801
8008;DIPENDENZE RUSSE;EE;Z802
8009;DIPENDENZE SOVIETICHE;EE;Z802
8010;DIPENDENZE STATUNITENSI;EE;Z905
8011;DIPENDENZE SUDAFRICANE;EE;Z906
8012;DOMINICA;EE;Z526
8013;DOMINICANA REPUBBLICA;EE;Z505
8014;ECUADOR;EE;Z605
8015;EGITTO;EE;Z336
8016;EL SALVADOR;EE;Z506
8017;EMIRATI ARABI UNITI;EE;Z215
8018;ERITREA;EE;Z368
8019;ESTONIA;EE;Z144
8020;ETIOPIA;EE;Z315
8021;ETIOPIA;EE;Z315
8022;ETIOPIA;EE;Z315
8023;FAER OER (ISOLE);EE;Z108
8024;FIGI=VITI;EE;Z704
8025;FIGI=VITI (ISOLE);EE;Z704
8026;FILIPPINE;EE;Z216
8027;FINLANDIA;EE;Z109
8028;FORMOSA=TAIWAN;EE;Z217
8029;FRANCIA;EE;Z110
8030;GABON;EE;Z316
8031;GAMBIA;EE;Z317
8032;GAZA (TERRITORIO DI);EE;Z218
8033;GEORGIA;EE;Z254
8034;GEORGIA;EE;Z136
8035;GERMANIA;EE;Z112
8036;GERMANIA REPUBBLICA DEMOCRATICA;EE;Z111
8037;GERMANIA REPUBBLICA FEDERALE;EE;Z112
8038;GHANA;EE;Z318
8039;GIAMAICA;EE;Z507
8040;GIAPPONE;EE;Z219
8041;GIBILTERRA;EE;Z113
8042;GIBUTI;EE;Z361
8043;GILBERT E ELLICE (ISOLE);EE;Z705
8044;GILBERT E ELLICE (ISOLE);EE;Z705
8045;GIORDANIA;EE;Z220
8046;GRAN BRETAGNA E IRLANDA DEL NORD;EE;Z114
8047;GRECIA;EE;Z115
8048;GRENADA;EE;Z524
8049;GROENLANDIA;EE;Z402
8050;GUADALUPA;EE;Z508
8051;GUAM (ISOLA);EE;Z706
8052;GUATEMALA;EE;Z509
8053;GUAYANA OLANDESE;EE;Z608
8054;GUAYANA=GUIANA FRANCESE;EE;Z607
8055;GUINEA;EE;Z319
8056;GUINEA BISSAU;EE;Z320
8057;GUINEA EQUATORIALE;EE;Z321
8058;GUINEA PORTOGHESE;EE;Z320
8059;GUINEA SPAGNOLA;EE;Z321
8060;GUYANA;EE;Z606
8061;GUYANA BRITANNICA;EE;Z606
8062;HAITI;EE;Z510
8063;HONDURAS;EE;Z511
8064;HONDURAS BRITANNICO;EE;Z512
8065;HONG KONG;EE;Z221
8066;IFNI;EE;Z323
8067;IFNI;EE;Z323
8068;INDIA;EE;Z222
8069;INDONESIA;EE;Z223
8070;IRAN;EE;Z224
8071;IRAQ;EE;Z225
8072;IRIAN OCCIDENTALE;EE;Z707
8073;IRLANDA=EIRE;EE;Z116
8074;ISLANDA;EE;Z117
8075;ISOLE CILENE (PASQUA E SALA Y GOMEZ);EE;Z721
8076;ISRAELE;EE;Z226
8077;IUGOSLAVIA;EE;Z118
8078;IUGOSLAVIA;EE;Z118
8079;IUGOSLAVIA;EE;Z118
8080;IUGOSLAVIA;EE;Z118
8081;IUGOSLAVIA;EE;Z118
8082;KAZAKISTAN;EE;Z255
8083;KAZAKISTAN;EE;Z152
8084;KENYA;EE;Z322
8085;KIRGHIZISTAN;EE;Z256
8086;KIRGHIZISTAN;EE;Z142
8087;KIRIBATI;EE;Z731
8088;KOSOVO;EE;Z160
8089;KUWAIT;EE;Z227
8090;LA REUNION (ISOLA);EE;Z324
8091;LAOS;EE;Z228
8092;LESOTHO;EE;Z359
8093;LETTONIA;EE;Z145
8094;LIBANO;EE;Z229
8095;LIBERIA;EE;Z325
8096;LIBIA;EE;Z326
8097;LIECHTENSTEIN;EE;Z119
8098;LITUANIA;EE;Z146
8099;LUSSEMBURGO;EE;Z120
8100;MACAO;EE;Z231
8101;MACEDONIA;EE;Z148
8102;MACQUARIE (ISOLE);EE;Z708
8103;MADAGASCAR;EE;Z327
8104;MALAWI;EE;Z328
8105;MALAYSIA;EE;Z230
8106;MALAYSIA;EE;Z230
8107;MALAYSIA;EE;Z247
8108;MALDIVE;EE;Z232
8109;MALI;EE;Z329
8110;MALTA;EE;Z121
8111;MALVINE=FALKLAND (ISOLE);EE;Z609
8112;MAN (ISOLA);EE;Z122
8113;MARCUS (ISOLE);EE;Z709
8114;MARIANNE (ISOLE);EE;Z710
8115;MAROCCO;EE;Z330
8116;MARSHALL;EE;Z711
8117;MARSHALL (ISOLE);EE;Z711
8118;MARTINICA;EE;Z513
8119;MAURITANIA;EE;Z331
8120;MAURIZIO;EE;Z332
8121;MAURIZIO (ISOLE);EE;Z332
8122;MAYOTTE (ISOLA);EE;Z360
8123;MESSICO;EE;Z514
8124;MICRONESIA STATI FEDERATI;EE;Z735
8125;MIDWAY (ISOLE);EE;Z712
8126;MOLDAVIA;EE;Z140
8127;MONACO;EE;Z123
8128;MONGOLIA;EE;Z233
8129;MONTENEGRO;EE;Z157
8130;MONTSERRAT;EE;Z531
8131;MOZAMBICO;EE;Z333
8132;MOZAMBICO;EE;Z333
8133;NAMIBIA;EE;Z300
8134;NAMIBIA=AFRICA DEL SUD OVEST;EE;Z300
8135;NAURU;EE;Z713
8136;NAURU (ISOLE);EE;Z713
8137;NEPAL;EE;Z234
8138;NICARAGUA;EE;Z515
8139;NIGER;EE;Z334
8140;NIGERIA;EE;Z335
8141;NIUE=SAVAGE (ISOLE);EE;Z714
8142;NORFOLK (ISOLE E ISOLE DEL MAR DEI CORALLI);EE;Z715
8143;NORMANNE (ISOLE)=ISOLE DEL CANALE;EE;Z124
8144;NORVEGIA;EE;Z125
8145;NUOVA CALEDONIA (ISOLE E DIPENDENZE);EE;Z716
8146;NUOVA GUINEA;EE;Z718
8147;NUOVA ZELANDA;EE;Z719
8148;NUOVE EBRIDI (ISOLE CONDOMINIO FRANCO-INGLESE);EE;Z717
8149;OMAN;EE;Z235
8150;PAESI BASSI;EE;Z126
8151;PAKISTAN;EE;Z236
8152;PALAU;EE;Z734
8153;PALAU REPUBBLICA;EE;Z734
8154;PANAMA';EE;Z516
8155;PANAMA ZONA DEL CANALE;EE;Z517
8156;PANAMA ZONA DEL CANALE;EE;Z517
8157;PAPUA NUOVA GUINEA;EE;Z730
8158;PAPUASIA;EE;Z720
8159;PARAGUAY;EE;Z610
8160;PASQUA (ISOLA);EE;Z721
8161;PERU';EE;Z611
8162;PITCAIRN (E DIPENDENZE);EE;Z722
8163;POLINESIA FRANCESE (ISOLE);EE;Z723
8164;POLONIA;EE;Z127
8165;PORTOGALLO;EE;Z128
8166;PUERTO RICO;EE;Z518
8167;QATAR;EE;Z237
8168;QATAR;EE;Z237
8169;REPUBBLICA DELLA CINA NAZIONALE=TAIWAN;EE;Z217
8170;REPUBBLICA DI POLONIA;EE;Z127
8171;RHODESIA;EE;Z337
8172;ROMANIA;EE;Z129
8173;RUANDA;EE;Z338
8174;RUSSIA=FEDERAZIONE RUSSA;EE;Z154
8175;RYUKYU (ISOLE);EE;Z238
8176;SAHARA MERIDIONALE;EE;Z362
8177;SAHARA SETTENTRIONALE;EE;Z363
8178;SAHARA SPAGNOLO;EE;Z339
8179;SAHARA SPAGNOLO;EE;Z339
8180;SAINT KITTS E NEVIS=SAINT CHRISTOPHER E NEVIS;EE;Z533
8181;SAINT LUCIA;EE;Z527
8182;SAINT PIERRE ET MIQUELON (ISOLE);EE;Z403
8183;SAINT VINCENT E GRENADINE;EE;Z528
8184;SALOMONE;EE;Z724
8185;SALOMONE (ISOLE);EE;Z724
8186;SAMOA;EE;Z726
8187;SAMOA AMERICANE (ISOLE);EE;Z725
8188;SAN MARINO;EE;Z130
8189;SANT'ELENA (ISOLA);EE;Z340
8190;SAO TOME' E PRINCIPE;EE;Z341
8191;SAO TOME' E PRINCIPE (ISOLE);EE;Z341
8192;SEICELLE;EE;Z342
8193;SEICELLE (ISOLE);EE;Z342
8194;SEICELLE (ISOLE);EE;Z342
8195;SENEGAL;EE;Z343
8196;SERBIA;EE;Z158
8197;SERBIA E MONTENEGRO;EE;Z118
8198;SIERRA LEONE;EE;Z344
8199;SIKKIM;EE;Z239
8200;SINGAPORE;EE;Z248
8201;SIRIA;EE;Z240
8202;SLOVACCHIA;EE;Z155
8203;SLOVENIA;EE;Z150
8204;SOMALIA;EE;Z345
8205;SOMALIA FRANCESE;EE;Z346
8206;SPAGNA;EE;Z131
8207;SRI LANKA;EE;Z209
8208;STATI UNITI D'AMERICA;EE;Z404
8209;SUDAFRICANA REPUBBLICA;EE;Z347
8210;SUDAFRICANA REPUBBLICA;EE;Z347
8211;SUDAFRICANA REPUBBLICA;EE;Z347
8212;SUDAFRICANA REPUBBLICA;EE;Z347
8213;SUDAFRICANA REPUBBLICA;EE;Z347
8214;SUDAN;EE;Z348
8215;SURINAME;EE;Z608
8216;SVEZIA;EE;Z132
8217;SVIZZERA;EE;Z133
8218;SWAZILAND;EE;Z349
8219;SWAZILAND-SUDAFRICA BRITANNICO;EE;Z349
8220;TAGIKISTAN;EE;Z257
8221;TAGIKISTAN;EE;Z147
8222;TANGANICA;EE;Z350
8223;TANZANIA;EE;Z357
8224;TERRITORIO FRANCESE DEGLI AFAR E DEGLI ISSA;EE;Z346
8225;THAILANDIA;EE;Z241
8226;TIMOR (ISOLA);EE;Z242
8227;TOGO;EE;Z351
8228;TOKELAU=ISOLE DELL'UNIONE;EE;Z727
8229;TONGA=DEGLI AMICI (ISOLE);EE;Z728
8230;TONGA=ISOLE DEGLI AMICI;EE;Z728
8231;TRANSKEI;EE;Z365
8232;TRINIDAD E TOBAGO;EE;Z612
8233;TUNISIA;EE;Z352
8234;TURCHIA;EE;Z243
8235;TURKEMENISTAN;EE;Z258
8236;TURKEMENISTAN;EE;Z151
8237;TURKS E CAICOS (ISOLE);EE;Z519
8238;TUVALU;EE;Z732
8239;UCRAINA;EE;Z138
8240;UGANDA;EE;Z353
8241;UNGHERIA;EE;Z134
8242;UNIONE REPUBBLICHE SOCIALISTE SOVIETICHE;EE;Z135
